Name,MLBAM_ID,Putaway vs RHB,Putaway vs LHB,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,FIP-,Stuff+,K%,BB%,IP,Matched_Name,Match_Type
Aaron Ashby,676943.0,SL,CH,,,,,,,,,,,,,,,
Ben Lively,607625.0,SL,SL,0.26735219,0.70909091,0.77884615,0.91025641,0.45897079,0.61235955,0.06111111,0.22916667,113.29444965069900,82.79181818181820,0.16292135,0.08426966,44.2,Ben Lively,Exact
Brady Singer,663903.0,SL,SL,0.27111111,0.62536873,0.66393443,0.86320755,0.42965779,0.57575758,0.0887199,0.26996198,102.87067292358000,94.56836734693880,0.21717172,0.09090909,46.2,Brady Singer,Exact
Brandon Pfaadt,694297.0,SL,SL,0.32051282,0.72062663,0.65714286,0.90942029,0.41227126,0.65966387,0.09139785,0.24731183,127.82919195923300,95.86981700753500,0.18487395,0.05882353,56.2,Brandon Pfaadt,Exact
Bryce Elder,682243.0,SL,SL,0.28773585,0.66315789,0.6557377,0.92063492,0.40197461,0.65745856,0.08028169,0.27042254,123.78575715605500,92.501757925072,0.18232044,0.0718232,44.0,Bryce Elder,Exact
Cal Quantrill,663978.0,SK,SK,0.30238095,0.67558528,0.68503937,0.88118812,0.41585535,0.60451977,0.08901252,0.25034771,117.3093966408600,86.18646239554320,0.16384181,0.08474576,41.0,Cal Quantrill,Exact
Chris Sale,519242.0,SL,CH,0.36464088,0.66037736,0.53535354,0.83214286,0.43846949,0.64135021,0.14374354,0.31540848,76.2486662709417,107.4863475546310,0.30379747,0.06329114,54.2,Chris Sale,Exact
Corbin Burnes,669203.0,FC,CU,0.31277533,0.66433566,0.57042254,0.89473684,0.38648649,0.63684211,0.10945946,0.28243243,107.70983660120000,101.87978260869600,0.22631579,0.11578947,45.2,Corbin Burnes,Exact
Dane Dunning,666808.0,SK,SK,0.33529412,0.65,0.56140351,0.80769231,0.4137931,0.50617284,0.13745704,0.29896907,67.631297810106,104.615972222222,0.2345679,0.09876543,21.2,,
Framber Valdez,664285.0,CU,SL,0.32495164,0.67581047,0.54166667,0.89667897,0.43681917,0.61660079,0.11388286,0.28308026,81.21186278878610,106.1499344978170,0.23320158,0.07509881,63.0,Framber Valdez,Exact
Gerrit Cole,543037.0,4S,SL,,,,,,,,,,,,,,,
Joe Ryan,668933.0,4S,SL,0.31786543,0.70822281,0.66423358,0.77153558,0.46658416,0.675,0.13242574,0.2970297,75.92718500072800,104.81669975186100,0.315,0.03,52.0,Joe Ryan,Exact
Kevin Gausman,592332.0,SP,SP,0.37684211,0.72576177,0.6424581,0.87022901,0.43181818,0.71144279,0.11722488,0.26674641,92.55048454531650,102.42983091787400,0.22885572,0.05970149,51.0,Kevin Gausman,Exact
Kodai Senga,808967.0,FK,FK,0.30246914,0.72258065,0.53061224,0.875,0.38944724,0.54411765,0.12140175,0.26157697,71.98964526058950,94.23471698113210,0.23039216,0.10784314,50.1,Kodai Senga,Exact
Logan Webb,669358.0,SK,SK,0.31858407,0.62779156,0.55555556,0.90118577,0.41632231,0.71428571,0.10847107,0.31714876,55.01001803294800,106.51144041450800,0.27380952,0.06349206,63.1,Logan Webb,Exact
Max Fried,607200.0,CU,SL,0.29357798,0.69014085,0.675,0.87414966,0.43872297,0.60557769,0.09165808,0.26364573,63.80510722482640,107.3405364806870,0.23904382,0.05976096,62.2,Max Fried,Exact
Shohei Ohtani,660271.0,SL,SL,,,,,,,,,,,,,,,
Spencer Strider,678468.0,SL,SL,,,,,,,,,,,,,,,
Zack Wheeler,554430.0,4S,CU,0.34210526,0.70403587,0.57142857,0.80573248,0.45603272,0.61065574,0.14212679,0.299591,70.40656420458340,108.86619631901800,0.32786885,0.04918033,64.0,Zack Wheeler,Exact
Jacob deGrom,594798.0,SL,CH,0.35421687,0.70231214,0.57823129,0.79423868,0.45466491,0.6281407,0.14717477,0.30749014,84.30079327383610,107.1505387647830,0.26633166,0.05527638,51.0,Jacob deGrom,Exact
Max Scherzer,453286.0,SL,CH,,,,,,,,,,,,,,,
Blake Snell,596119.0,SL,CH,,,,,,,,,,,,,,,
Carlos Rodón,607074.0,SL,CH,0.33660131,0.5954416,0.5631068,0.86124402,0.36448598,0.6059322,0.12318841,0.3136646,86.2675774350206,104.38112382934400,0.30508475,0.10169492,59.2,Carlos Rodón,Exact
Brandon Woodruff,657024.0,SL,CH,,,,,,,,,,,,,,,
Zac Gallen,668678.0,CU,SL,0.26173285,0.65162907,0.55172414,0.89230769,0.41867786,0.58024691,0.09758657,0.28016789,119.93881034419600,91.87613850996850,0.24279835,0.10288066,56.0,Zac Gallen,Exact
Logan Gilbert,669302.0,SL,CH,0.32363636,0.74553571,0.38202247,0.78443114,0.4488978,0.72649573,0.18236473,0.32865731,53.98007336036770,98.72484969939880,0.37606838,0.05128205,30.1,Logan Gilbert,Exact
Tyler Glasnow,607192.0,SL,CH,,,,,,,,,,,,,,,
Joe Musgrove,571578.0,SL,CH,0.31005587,0.68525896,0.59459459,0.91860465,0.41215107,0.63694268,0.09688013,0.25287356,114.8492979053,94.743438016529,0.18471338,0.08280255,37.2,,
Clayton Kershaw,477132.0,SL,CH,,,,,,,,,,,,,,,
Julio Urías,596112.0,SL,CH,,,,,,,,,,,,,,,
Walker Buehler,621111.0,SL,CH,0.325,0.65865385,0.72115385,0.91240876,0.39393939,0.66428571,0.07750473,0.26465028,104.49009997232500,97.37130929791270,0.20714286,0.06428571,33.2,Walker Buehler,Exact
Chris Bassitt,605135.0,SK,SK,0.33066132,0.73743017,0.7030303,0.82954545,0.41773629,0.63348416,0.10955711,0.27039627,77.25283289343960,98.89453924914680,0.24886878,0.04524887,51.1,Chris Bassitt,Exact
Cole Irvin,608344.0,CU,CU,,,,,,,,,,,,,,,
Dean Kremer,665152.0,FC,FC,0.31034483,0.69565217,0.67973856,0.91666667,0.45644983,0.69008264,0.08030803,0.25962596,121.46373654181400,98.8914348785872,0.16528926,0.06198347,55.2,Dean Kremer,Exact
Drew Rasmussen,656876.0,SL,SL,0.33156499,0.68085106,0.688,0.87946429,0.46600567,0.71666667,0.09348442,0.26628895,96.55914333479410,111.82357954545500,0.22222222,0.05555556,46.0,Drew Rasmussen,Exact
Emerson Hancock,676106.0,SL,SL,0.26689189,0.7312253,0.6835443,0.84864865,0.46083789,0.66666667,0.09636364,0.26,138.24252747659100,90.5712204007286,0.16666667,0.08,33.1,Emerson Hancock,Exact
Erick Fedde,607200.0,FC,FC,0.278826,0.67164179,0.69924812,0.93333333,0.41256158,0.62962963,0.06765068,0.2300123,103.4791899891200,91.1406476683938,0.14814815,0.11574074,52.1,Erick Fedde,Exact
Freddy Peralta,642547.0,4S,4S,0.35016287,0.67924528,0.5255814,0.89814815,0.34120172,0.55506608,0.13290461,0.27224009,90.90310514681240,101.44372881355900,0.25110132,0.08810573,55.2,Freddy Peralta,Exact
Gavin Stone,686610.0,CU,CU,,,,,,,,,,,,,,,
Jake Irvin,663738.0,CU,CU,0.29955947,0.63192905,0.71323529,0.90175439,0.49834254,0.68273092,0.07395143,0.27262693,118.27420518454900,93.45306755260250,0.16064257,0.06827309,60.1,Jake Irvin,Exact
James Paxton,592320.0,CU,CU,,,,,,,,,,,,,,,
Jeffrey Springs,605488.0,CU,CU,0.3125,0.66005666,0.65454545,0.84978541,0.40068104,0.59555556,0.10442679,0.27468785,109.42038967113800,91.9765909090909,0.18222222,0.09333333,53.0,Jeffrey Springs,Exact
Joe Boyle,687362.0,4S,4S,0.31558935,0.62980769,0.69879518,0.8778626,0.44161359,0.55284553,0.08686441,0.26483051,140.402350746619,91.5634136546185,0.18699187,0.08943089,26.0,,
Joey Lucchesi,656756.0,CU,CU,,,,,,,,,,,,,,,
Jordan Hicks,663855.0,SK,SK,0.25934579,0.66197183,0.56756757,0.88085106,0.45338442,0.58937198,0.09693878,0.28443878,91.20918381153690,108.72320809898800,0.19806763,0.0821256,46.1,Jordan Hicks,Exact
Jose Berrios,621244.0,SL,SL,0.29249012,0.68392371,0.60135135,0.88844622,0.42038946,0.652,0.09965636,0.27835052,116.4808732946470,91.58462068965520,0.212,0.1,58.0,José Berríos,Fuzzy
Jose Quintana,500779.0,CU,CU,0.28358209,0.65024631,0.74736842,0.90909091,0.37732342,0.57246377,0.06666667,0.2537037,111.92904244327400,85.55607476635510,0.17391304,0.07971014,34.0,Jose Quintana,Exact
Josiah Gray,668723.0,SL,SL,,,,,,,,,,,,,,,
JP Sears,676664.0,4S,4S,0.32666667,0.64345404,0.7755102,0.85281385,0.44375773,0.66831683,0.08281829,0.26699629,96.30433320465050,98.0906976744186,0.18811881,0.04950495,49.0,JP Sears,Exact
Justin Verlander,434378.0,4S,4S,0.3081761,0.71465969,0.66666667,0.82051282,0.44470314,0.61333333,0.11408615,0.27240978,122.851943162249,105.94544392523400,0.18222222,0.09333333,52.0,Justin Verlander,Exact
Kutter Crawford,666424.0,FC,FC,,,,,,,,,,,,,,,
Kyle Bradish,676979.0,SL,SL,0.3471223,0.71724138,0.59585492,0.82371795,0.43895055,0.60159363,0.13420787,0.28052472,67.6685881157015,112.036129685917,0.29083665,0.08366534,63.0,,
Kyle Gibson,571760.0,SL,SL,0.32946636,0.67292225,0.68309859,0.87250996,0.46393035,0.61244019,0.0955335,0.25186104,103.363205355504,95.7909452736318,0.18181818,0.09090909,50.2,,
Kyle Harrison,683146.0,SL,SL,,,,,,,,,,,,,,,
Kyle Muller,669160.0,SL,SL,0.26941748,0.67128028,0.63963964,0.8814433,0.41226819,0.55789474,0.08974359,0.27777778,99.028576179607,96.8870470756063,0.21578947,0.08947368,44.2,,
Lance Lynn,458676.0,4S,4S,,,,,,,,,,,,,,,
Marcus Stroman,544931.0,SK,SK,,,,,,,,,,,,,,,
Mason Miller,687027.0,4S,4S,,,,,,,,,,,,,,,
Matt Manning,666159.0,SL,SL,,,,,,,,,,,,,,,
Matthew Liberatore,669461.0,CU,CU,0.3546798,0.64857143,0.55555556,0.90748899,0.46296296,0.67142857,0.11228534,0.29722589,59.3812901560859,99.7566755319149,0.22380952,0.03809524,52.1,Matthew Liberatore,Exact
Michael King,650633.0,SL,SL,0.30198915,0.64864865,0.63473054,0.825,0.40086674,0.60444444,0.11159263,0.28385699,80.84928969983800,100.5403250270860,0.28444444,0.07555556,55.2,Michael King,Exact
Michael Kopech,656629.0,4S,4S,,,,,,,,,,,,,,,
Michael Wacha,605400.0,CU,CU,0.29424307,0.7160804,0.70289855,0.85964912,0.45905421,0.66525424,0.09342561,0.25144175,75.65841128037820,96.70437352245860,0.18220339,0.06779661,56.2,Michael Wacha,Exact
Mitch Keller,641745.0,SL,SL,0.29313929,0.6681128,0.68085106,0.89285714,0.48938429,0.624,0.08271474,0.26935313,85.09144399315330,96.22556962025310,0.192,0.068,58.0,Mitch Keller,Exact
Mitch White,657077.0,SL,SL,,,,,,,,,,,,,,,
Nick Lodolo,666157.0,CU,CU,0.36986301,0.68656716,0.65608466,0.89130435,0.44030668,0.70204082,0.10393873,0.25273523,84.70281239241340,101.0022602739730,0.2,0.04081633,58.2,Nick Lodolo,Exact
Nick Martinez,607259.0,CU,CU,0.31615925,0.66376812,0.61481481,0.89956332,0.44689119,0.59134615,0.09715026,0.26165803,74.90244802750190,93.1036931079324,0.19230769,0.05288462,51.2,Nick Martinez,Exact
Nick Pivetta,605400.0,CU,CU,0.2875,0.68882979,0.64347826,0.8030888,0.48453608,0.66666667,0.1185567,0.28608247,78.27696396915740,96.10395860284600,0.28282828,0.07575758,50.1,Nick Pivetta,Exact
Patrick Corbin,571578.0,SL,SL,0.31005587,0.68525896,0.59459459,0.91860465,0.41215107,0.63694268,0.09688013,0.25287356,114.84929790530000,94.75279338842980,0.18471338,0.08280255,37.2,Patrick Corbin,Exact
Paul Blackburn,605212.0,FC,FC,,,,,,,,,,,,,,,
Reynaldo Lopez,625643.0,SL,SL,,,,,,,,,,,,,,,
Rich Hill,448179.0,CU,CU,,,,,,,,,,,,,,,
Roansy Contreras,672710.0,SL,SL,,,,,,,,,,,,,,,
Robert Gasser,687297.0,SL,SL,,,,,,,,,,,,,,,
Sandy Alcantara,645261.0,CU,CU,0.26470588,0.70262391,0.63247863,0.84647303,0.43694268,0.57068063,0.10178117,0.25699746,132.3080472895870,107.74439897698200,0.17801047,0.12041885,41.2,Sandy Alcantara,Exact
Shane Baz,669358.0,SL,SL,0.31701632,0.67919799,0.58088235,0.900369,0.48188406,0.62380952,0.10144928,0.26328502,123.36382276019900,108.6526958290950,0.22857143,0.09047619,49.0,Shane Baz,Exact
Shane Bieber,669456.0,SL,SL,,,,,,,,,,,,,,,
Sonny Gray,543243.0,SL,SL,0.31451613,0.68169761,0.52564103,0.89494163,0.43184422,0.64317181,0.11556064,0.29633867,96.15187895247550,96.86763414634150,0.26872247,0.05726872,56.0,Sonny Gray,Exact
Spencer Arrighetti,687297.0,SL,SL,,,,,,,,,,,,,,,
Tanner Houck,656557.0,SL,SL,0.31497797,0.6440678,0.65034965,0.91052632,0.39385848,0.62068966,0.0894526,0.27102804,150.32937753685600,97.01453333333330,0.15763547,0.08374384,43.2,Tanner Houck,Exact
Taylor Clarke,656756.0,SL,SL,,,,,,,,,,,,,,,
Tommy Henry,663993.0,CU,CU,,,,,,,,,,,,,,,
Tyler Anderson,542881.0,CU,CU,0.34004024,0.7251462,0.63905325,0.83870968,0.40762813,0.5645933,0.12038141,0.2681764,116.29160107424300,96.79961859356380,0.20574163,0.08133971,50.1,Tyler Anderson,Exact
Tyler Mahle,641816.0,SL,SL,0.30590717,0.71032746,0.72413793,0.82624113,0.45579793,0.61971831,0.1021814,0.25947187,74.10936982898560,91.15401611047180,0.18779343,0.08450704,55.0,Tyler Mahle,Exact
Tyler Megill,656731.0,SL,SL,0.30567686,0.60559006,0.61428571,0.85128205,0.41282051,0.60621762,0.10641026,0.29102564,78.9017906748962,110.14841025641000,0.29015544,0.11398964,43.1,Tylor Megill,Fuzzy
Walker Buehler,621111.0,SL,CH,0.325,0.65865385,0.72115385,0.91240876,0.39393939,0.66428571,0.07750473,0.26465028,104.49009997232500,97.37130929791270,0.20714286,0.06428571,33.2,Walker Buehler,Exact
Zack Littell,656222.0,FC,FC,0.36790123,0.69889503,0.75167785,0.88932806,0.47196871,0.66666667,0.08474576,0.24511082,141.70517226663500,84.36699080157690,0.14814815,0.0462963,54.1,Zack Littell,Exact
Zack Thompson,682995.0,CU,CU,,,,,,,,,,,,,,,
AJ Smith-Shawver,694192.0,SL,SL,0.32954545,0.65271967,0.56896552,0.8525641,0.40439932,0.57763975,0.12351946,0.29103215,87.24475927122200,96.71047457627120,0.2484472,0.10559006,38.2,AJ Smith-Shawver,Exact
Andrew Abbott,686780.0,CU,CU,0.33246073,0.70386266,0.61417323,0.87804878,0.37886179,0.55633803,0.11219512,0.26666667,73.35388934945210,95.87448051948050,0.3028169,0.1056338,35.0,Andrew Abbott,Exact
Andre Pallante,669357.0,SK,SK,0.26681128,0.70870871,0.57723577,0.90677966,0.41939547,0.59624413,0.09319899,0.24307305,121.53901049902800,90.49947036569990,0.15023474,0.07511737,50.1,Andre Pallante,Exact
Antonio Senzatela,622866.0,SL,SL,0.26709402,0.73780488,0.696,0.9214876,0.4120603,0.56190476,0.07160804,0.23366834,134.44065072597700,86.47449864498640,0.1047619,0.06190476,43.2,Antonio Senzatela,Exact
Bailey Ober,668923.0,4S,4S,0.38592751,0.66666667,0.61878453,0.85,0.43425814,0.64573991,0.12665862,0.28829916,92.130829692189,95.699974522293,0.19282511,0.05381166,51.1,Bailey Ober,Exact
Ben Brown,687624.0,SL,SL,0.30394432,0.6484375,0.4351145,0.87550201,0.47116564,0.6745283,0.12883436,0.32269939,89.16736758791150,96.92175209481760,0.27358491,0.0754717,46.1,Ben Brown,Exact
Bowden Francis,656709.0,4S,4S,0.28604119,0.70392749,0.688,0.87124464,0.43098958,0.6318408,0.08984375,0.25911458,161.04320088297600,93.05502604166670,0.17910448,0.06467662,46.1,Bowden Francis,Exact
Bryce Miller,687024.0,4S,4S,0.28223844,0.72727273,0.67241379,0.85775862,0.4369863,0.58045977,0.09712722,0.23939808,101.0343058380870,101.52258411843900,0.20114943,0.12068966,39.2,Bryce Miller,Exact
Bryan Woo,687433.0,4S,4S,0.35036496,0.75443038,0.64583333,0.8590604,0.49007444,0.68468468,0.11538462,0.25930521,69.90272317955550,103.93514925373100,0.24774775,0.03603604,57.2,Bryan Woo,Exact
Cade Povich,687677.0,CU,CU,0.25706941,0.64741641,0.65,0.88262911,0.45821727,0.63128492,0.08356546,0.27158774,119.75393572698500,97.05288702928870,0.2122905,0.07821229,41.1,Cade Povich,Exact
Dylan Cease,656555.0,SL,SL,0.34268537,0.72392638,0.48538012,0.83050847,0.39515152,0.63546798,0.15496368,0.28813559,80.89571835204880,107.98322815534000,0.28571429,0.08866995,47.0,Dylan Cease,Exact
Hunter Greene,663886.0,SL,CH,0.38028169,0.74386921,0.51851852,0.77655678,0.50831025,0.71590909,0.17451524,0.32132964,72.2079743097934,126.203,0.34659091,0.04545455,45.2,Hunter Greene,Exact
Luis Castillo,592389.0,CU,CU,0.32330827,0.73316708,0.65116279,0.87755102,0.42979636,0.6302521,0.10289389,0.24437299,90.52942738830490,95.29609442060090,0.18487395,0.08403361,56.1,Luis Castillo,Exact
Pablo López,657022.0,SL,CH,0.32923833,0.66163142,0.58208955,0.84474886,0.44850949,0.5819209,0.12195122,0.28319783,59.20530378029790,95.01337856173680,0.27683616,0.05084746,45.0,Pablo López,Exact
Tarik Skubal,680574.0,CU,CU,0.37468354,0.72885572,0.51351351,0.73037543,0.50439147,0.70616114,0.18946048,0.3412798,51.21111917331710,118.67806045340100,0.33649289,0.02843602,54.0,Tarik Skubal,Exact
Shane McClanahan,663556.0,SL,CH,0.31701632,0.67919799,0.58088235,0.900369,0.48188406,0.62380952,0.10144928,0.26328502,123.363822760199,108.449216683622,0.22857143,0.09047619,49.0,,
Robbie Ray,592390.0,SL,CH,0.3197026,0.72010178,0.54651163,0.8409894,0.42212675,0.60425532,0.13169165,0.27837259,90.0060326741546,98.77346278317150,0.26382979,0.11489362,57.1,Robbie Ray,Exact
Luis Garcia,666971.0,FC,SL,0.296,0.73837209,0.62162162,0.88976378,0.40758294,0.55102041,0.09952607,0.24170616,84.91774829447850,108.37732142857100,0.2244898,0.13265306,21.2,Luis García,Fuzzy
Dustin May,668731.0,SL,CH,0.26941748,0.67128028,0.63963964,0.8814433,0.41226819,0.55789474,0.08974359,0.27777778,99.02857617960700,96.8929814550642,0.21578947,0.08947368,44.2,Dustin May,Exact
Cole Ragans,663624.0,CU,CU,0.31363636,0.69859155,0.57971014,0.76209677,0.44654088,0.60732984,0.14716981,0.31698113,47.71158696911960,108.27251580278100,0.37696335,0.06806283,45.2,Cole Ragans,Exact
Colin Rea,592663.0,FC,FC,0.27173913,0.6443662,0.65,0.89617486,0.43558282,0.68452381,0.08282209,0.27147239,91.48598249160570,94.81598332021520,0.19047619,0.06547619,41.2,Colin Rea,Exact
Edward Cabrera,665862.0,CU,CU,0.28279883,0.56505576,0.58762887,0.89473684,0.43954248,0.57236842,0.09150327,0.29575163,117.34940305196500,105.86622950819700,0.21710526,0.09210526,34.1,Edward Cabrera,Exact
Gavin Williams,687021.0,4S,4S,0.31069959,0.69085174,0.49668874,0.85844749,0.39476961,0.53475936,0.13325031,0.28518057,113.2220595862810,102.3887980173480,0.27272727,0.12834225,42.0,Gavin Williams,Exact
Graham Ashcraft,676651.0,SL,SL,0.46694215,0.62295082,0.61061947,0.90789474,0.33516484,0.62886598,0.14010989,0.29120879,63.82051805134490,120.39355555555600,0.26804124,0.10309278,23.0,Graham Ashcraft,Exact
Griffin Canning,669456.0,SL,SL,0.32426304,0.65564738,0.51748252,0.87394958,0.45149254,0.59090909,0.12313433,0.29104478,96.76816143940810,93.29791304347830,0.23232323,0.08585859,47.1,Griffin Canning,Exact
Hayden Wesneski,681140.0,SL,SL,0.30798479,0.65306122,0.64197531,0.8625,0.48228346,0.64885496,0.1003937,0.28149606,118.79457145495700,94.6014624505929,0.22137405,0.04580153,32.0,Hayden Wesneski,Exact
Hunter Brown,680686.0,CU,CU,0.34077079,0.608,0.61904762,0.82894737,0.43202765,0.58653846,0.11866359,0.30529954,46.42272035351390,111.25445727482700,0.32211538,0.06730769,56.2,Hunter Brown,Exact
Jack Flaherty,666134.0,SL,SL,0.31524008,0.65853659,0.53642384,0.86111111,0.40644362,0.63917526,0.12391574,0.29987608,112.1670621851400,98.97207453416150,0.28865979,0.07731959,46.2,Jack Flaherty,Exact
Jack Leiter,687299.0,SL,SL,0.28037383,0.70229008,0.62222222,0.85869565,0.44939966,0.63013699,0.10291595,0.25557461,98.85996962362270,110.84397941681000,0.18493151,0.10958904,36.0,Jack Leiter,Exact
Jackson Jobe,690987.0,SL,SL,0.3060241,0.66906475,0.64566929,0.87096774,0.4011544,0.65895954,0.0995671,0.25541126,129.87255963032000,109.31931488801100,0.1849711,0.12716763,39.1,Jackson Jobe,Exact
Jonathan Cannon,687259.0,SL,SL,0.30576923,0.70304569,0.71069182,0.88447653,0.43107221,0.60759494,0.0852459,0.23387978,96.65073671387940,99.6340019173617,0.17721519,0.07172996,55.0,Jonathan Cannon,Exact
Jose Butto,672640.0,CU,CU,0.31598513,0.74233129,0.51764706,0.87603306,0.37731481,0.60550459,0.12933025,0.25866051,90.86007604687090,102.29200631911500,0.22018349,0.11009174,26.0,José Buttó,Fuzzy
Justin Steele,670008.0,SL,SL,0.37790698,0.68085106,0.66153846,0.9375,0.45047923,0.67391304,0.08945687,0.27476038,123.6955663026660,100.75597444089500,0.22826087,0.05434783,22.2,Justin Steele,Exact
Kyle Hendricks,592767.0,CU,CU,0.3019802,0.63265306,0.74590164,0.92473118,0.42120344,0.63953488,0.06437768,0.25894134,129.3281692070450,80.13769230769230,0.14534884,0.09302326,41.2,Kyle Hendricks,Exact
Logan Allen,680688.0,SL,SL,0.27663934,0.6286645,0.74074074,0.89119171,0.38616352,0.62944162,0.07044025,0.25786164,97.49149272740420,92.74539295392950,0.17258883,0.10659898,44.1,Logan Allen,Exact
MacKenzie Gore,669370.0,CU,CU,0.35051546,0.71428571,0.5,0.80677966,0.41507538,0.61440678,0.15979899,0.29648241,73.90198155890290,101.02209677419400,0.3559322,0.07627119,56.1,MacKenzie Gore,Exact
Matthew Boyd,605648.0,SL,SL,0.34698276,0.70637119,0.68944099,0.84313725,0.43757576,0.63084112,0.10909091,0.2630303,97.79893357829980,94.94725060827250,0.24766355,0.06074766,51.1,Matthew Boyd,Exact
Max Meyer,676606.0,SL,SL,0.3280543,0.64942529,0.46206897,0.88495575,0.44050633,0.62037037,0.13164557,0.30379747,96.46126647679230,96.24988564167730,0.27314815,0.07407407,50.1,Max Meyer,Exact
Michael Lorenzen,571864.0,CU,CU,0.31235955,0.6819407,0.57553957,0.88142292,0.45465686,0.61818182,0.10906863,0.27083333,110.98711781682300,94.45002457002450,0.20454545,0.06818182,52.2,Michael Lorenzen,Exact
Nathan Eovaldi,594835.0,SP,SP,0.3372093,0.71358025,0.54597701,0.83737024,0.43973941,0.59913793,0.13665944,0.30043384,51.914538031259000,98.23624728850320,0.28017241,0.03448276,61.1,Nathan Eovaldi,Exact
Paul Skenes,686389.0,SL,SL,0.33097345,0.72209026,0.63636364,0.80263158,0.42697769,0.61316872,0.12981744,0.27586207,69.115827853091,108.5158101135190,0.25514403,0.06584362,62.2,Paul Skenes,Exact
Reese Olson,681140.0,CU,CU,0.31467181,0.66784452,0.48466258,0.87301587,0.35330836,0.64676617,0.13483146,0.30586767,72.52349526858570,94.364425,0.25373134,0.09452736,48.2,Reese Olson,Exact
Ryan Feltner,680689.0,SL,SL,0.33226837,0.71634615,0.58653846,0.87248322,0.39923225,0.59259259,0.11854685,0.2543021,102.62949101034900,88.39019157088120,0.18518519,0.08888889,30.1,Ryan Feltner,Exact
